City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Plettenberg Bay,ZA,-34.0527,23.3716,70.02,73,57,3.11,broken clouds
79,Katsuura,JP,35.1333,140.3,55.06,83,100,22.97,overcast clouds
80,Bredasdorp,ZA,-34.5322,20.0403,73.89,52,51,13.82,broken clouds
81,Kirakira,SB,-10.4544,161.9205,78.76,83,100,1.43,overcast clouds
82,Antalya,TR,36.7741,30.7178,66.09,78,75,0.0,broken clouds
83,Beitbridge,ZW,-22.2167,30.0,86.23,25,0,16.89,clear sky
84,Esperance,AU,-33.8667,121.9,65.46,64,53,10.94,broken clouds
85,Lebu,CL,-37.6167,-73.65,57.9,63,8,20.58,clear sky
86,Nikolskoye,RU,59.7035,30.7861,24.69,86,100,4.32,overcast clouds
87,Bethel,US,41.3712,-73.414,52.54,85,100,1.01,overcast clouds
88,Minudasht,IR,37.2289,55.3747,51.37,76,75,0.0,broken clouds
89,Redding,US,40.5865,-122.3917,34.66,84,96,1.72,overcast clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,72.82,84,75,11.5,light rain
91,Kysyl-Syr,RU,63.8986,122.7617,-35.82,100,98,3.02,overcast clouds
92,Dudinka,RU,69.4058,86.1778,-0.15,98,100,6.02,overcast clouds
93,Pisco,PE,-13.7,-76.2167,73.45,68,20,8.05,few clouds
94,Lulea,SE,65.5842,22.1547,32.07,93,100,1.14,fog
95,Bengkulu,ID,-3.8004,102.2655,76.71,87,99,5.17,overcast clouds
96,Nata,PA,8.3333,-80.5167,80.47,77,86,2.21,overcast clouds
97,East London,ZA,-33.0153,27.9116,70.74,83,20,23.02,few clouds
98,Tuatapere,NZ,-46.1333,167.6833,42.58,81,41,6.11,scattered clouds
99,Pulaski,US,34.7668,-92.3001,39.69,55,0,13.0,clear sky
100,Srivardhan,IN,18.0333,73.0167,75.58,70,78,4.03,broken clouds
101,Upernavik,GL,72.7868,-56.1549,6.71,91,100,16.87,light snow
102,Airai,TL,-8.9266,125.4092,60.67,92,100,0.4,overcast clouds
103,Muisne,EC,0.6,-80.0333,76.24,78,99,9.82,overcast clouds
104,Khatanga,RU,71.9667,102.5,-39.91,100,33,1.21,scattered clouds
105,Cozumel,MX,20.5083,-86.9458,86.07,74,38,8.01,scattered clouds
106,Kununurra,AU,-15.7667,128.7333,80.58,78,100,0.0,overcast clouds
107,Fare,PF,-16.7,-151.0167,79.52,76,0,14.38,clear sky
108,Hamilton,US,39.1834,-84.5333,36.99,65,37,8.01,scattered clouds
109,Dikson,RU,73.5069,80.5464,22.84,96,100,9.53,light snow
110,Boulder City,US,35.9786,-114.8325,43.59,38,0,0.0,clear sky
111,Iquique,CL,-20.2208,-70.1431,71.64,64,0,6.62,clear sky
112,Balkhash,KZ,46.844,74.9804,18.86,93,100,13.22,light snow
113,Luderitz,NA,-26.6481,15.1594,68.79,66,3,16.96,clear sky
114,Rantoul,US,40.3084,-88.1559,29.03,69,40,21.85,scattered clouds
115,Aksarka,RU,66.5606,67.7975,-7.56,97,16,2.35,few clouds
116,Ouallam,NE,14.3188,2.0866,91.36,11,78,8.48,broken clouds
117,Avera,US,33.194,-82.5271,60.85,97,100,9.78,overcast clouds
118,Erenhot,CN,43.6475,111.9767,3.97,68,4,9.91,clear sky
119,Llangefni,GB,53.2556,-4.3106,49.73,71,75,6.91,broken clouds
120,Caravelas,BR,-17.7125,-39.2481,80.96,79,97,9.48,overcast clouds
121,Vaini,TO,-21.2,-175.2,75.36,94,75,5.75,broken clouds
122,Ayorou,NE,14.7308,0.9174,91.94,11,63,6.62,broken clouds
123,Kaberamaido,UG,1.7389,33.1594,76.78,53,96,5.35,overcast clouds
124,Ponta Do Sol,PT,32.6667,-17.1,74.01,64,7,1.01,clear sky
125,Kohlu,PK,29.8962,69.252,56.48,20,4,2.08,clear sky
126,Porto Velho,BR,-8.7619,-63.9039,87.85,66,75,8.05,broken clouds
127,Flinders,AU,-34.5833,150.8552,59.05,82,90,4.34,overcast clouds
128,Carnarvon,AU,-24.8667,113.6333,70.29,81,0,16.15,clear sky
129,Wabana,CA,47.6332,-52.9481,26.56,79,43,3.0,scattered clouds
130,Sovetskiy,RU,61.3614,63.5842,7.5,94,100,2.33,overcast clouds
131,San Patricio,US,28.017,-97.5169,55.85,49,3,21.21,clear sky
132,Mayo,US,38.8876,-76.5119,53.71,92,100,11.5,light rain
133,Torbay,CA,47.6666,-52.7314,26.76,77,75,5.01,broken clouds
134,Port Elizabeth,ZA,-33.918,25.5701,76.1,80,62,8.99,broken clouds
135,Salalah,OM,17.0151,54.0924,77.59,72,0,6.76,clear sky
136,Kalmunai,LK,7.4167,81.8167,78.35,85,42,6.08,scattered clouds
137,Saulkrasti,LV,57.2622,24.4147,30.9,92,88,6.69,overcast clouds
138,Leningradskiy,RU,69.3833,178.4167,0.5,96,81,6.73,broken clouds
139,Urkut,HU,47.085,17.6439,37.33,75,100,5.53,light rain
140,Redlands,US,34.0556,-117.1825,57.94,58,13,1.21,few clouds
141,Chokurdakh,RU,70.6333,147.9167,-8.16,99,100,4.99,overcast clouds
142,Castro,BR,-24.7911,-50.0119,69.1,80,97,2.3,overcast clouds
143,Upata,VE,8.0086,-62.3989,83.19,58,58,4.72,broken clouds
