City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Tubmanburg,LR,82.02,moderate rain,6.8708,-10.8172,No hotel found
202,Riyadh,SA,73.54,broken clouds,24.6877,46.7219,White Palace Hotel
204,Luwuk,ID,78.39,overcast clouds,-0.9516,122.7875,No hotel found
205,Lodja,CD,71.94,overcast clouds,-3.4833,23.4333,No hotel found
213,Ponnani,IN,79.92,few clouds,10.767,75.9252,Hotel Salkara
215,Luau,AO,70.63,light rain,-10.7073,22.2247,No hotel found
217,Mabaruma,GY,84.87,broken clouds,8.2,-59.7833,Monty Brooms Hotel
219,Lazaro Cardenas,MX,81.19,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
222,Chimoio,MZ,72.77,broken clouds,-19.1164,33.4833,Hotel Amirana
223,Biak,ID,77.05,overcast clouds,-0.9131,122.8766,No hotel found
224,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel Tamasite
226,Ranong,TH,77.47,broken clouds,9.9658,98.6348,Rattana Sin Hotel
227,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Coco Villa
228,Fayaoue,NC,80.82,broken clouds,-20.65,166.5333,Hôtel Beaupré
230,Harlingen,US,71.51,overcast clouds,26.1906,-97.6961,Holiday Inn Express
238,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Grand Bel Air
240,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
244,Taoudenni,ML,79.2,clear sky,22.6783,-3.9836,No hotel found
246,Lorengau,PG,81.45,scattered clouds,-2.0226,147.2712,Seeadler Bay Hotel
247,Takoradi,GH,83.08,light rain,4.8845,-1.7554,Hillcrest
248,Yei,SS,73.94,overcast clouds,4.095,30.6779,New Tokyo
250,Nosy Varika,MG,77.05,light rain,-20.5833,48.5333,No hotel found
252,Hong Gai,VN,71.51,overcast clouds,20.956,107.0946,Koc moc
253,Huarmey,PE,72.61,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
