City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,Avarua,-21.2078,-159.775,77.05,73,20,9.22,CK,11/27/22 18:41
73,Cabedelo,-6.9811,-34.8339,84.87,69,29,10.38,BR,11/27/22 18:41
74,Yulara,-25.2406,130.9889,72.41,22,100,15.55,AU,11/27/22 18:41
75,Bengkulu,-3.8004,102.2655,75.6,89,100,3.38,ID,11/27/22 18:41
76,Mandalgovi,45.7625,106.2708,-8.82,88,100,25.28,MN,11/27/22 18:41
77,Lagoa,39.05,-27.9833,62.98,81,100,25.12,PT,11/27/22 18:41
78,Tiksi,71.6872,128.8694,-28.43,99,86,7.45,RU,11/27/22 18:42
79,Whitehorse,60.7161,-135.0538,16.57,79,100,9.22,CA,11/27/22 18:40
80,Catia La Mar,10.6038,-67.0303,85.98,76,40,2.3,VE,11/27/22 18:42
81,Redmond,47.674,-122.1215,46.22,90,88,3,US,11/27/22 18:40
82,Provideniya,64.3833,-173.3,15.62,95,100,5.84,RU,11/27/22 18:37
83,Yasu,35.068,136.0233,50.09,63,100,1.66,JP,11/27/22 18:42
84,Saldanha,-33.0117,17.9442,69.85,79,5,19.06,ZA,11/27/22 18:42
85,Bara,10.3744,10.7288,76.78,23,37,7.02,NG,11/27/22 18:42
86,Norman Wells,65.282,-126.8329,3.24,78,100,20.71,CA,11/27/22 18:42
87,Yar-Sale,66.8333,70.8333,-0.31,92,85,5.59,RU,11/27/22 18:42
88,Bomi,7.2461,-11.5258,77.77,82,95,4.07,SL,11/27/22 18:43
89,Punta Arenas,-53.15,-70.9167,62.71,34,0,18.41,CL,11/27/22 18:41
90,Iquique,-20.2208,-70.1431,69.84,66,27,8.23,CL,11/27/22 18:43
91,Rosetta,31.4044,30.4164,65.12,61,25,10.67,EG,11/27/22 18:43
92,Hilo,19.7297,-155.09,77.25,78,0,4.61,US,11/27/22 18:43
93,Benguela,-12.5763,13.4055,78.31,82,100,4.52,AO,11/27/22 18:43
94,Hithadhoo,-0.6,73.0833,80.92,74,100,4.61,MV,11/27/22 18:43
